Survey Month,Choice 1,Choice 2,Choice 3,Region,Gender,Age,Weight
2010 Mar 01 12:00:00 AM,Economy (general),,,Core,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Environmental Issues,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Taxes/ Tax reform,,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Economy (general),,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Downtown Renewal,Public Transit/ Bike lanes,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Crime/ Violence/ Vandalism,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Environmental Issues,Civic Politics,Economy (general),Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Low cost housing/ Lower rental costs,,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Aboriginal Issues,Racism/ Cultural/ Inequality issues,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Crime/ Violence/ Vandalism,Morality issues: Pornography/ Drugs/ Prostitution,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Jobs/ Unemployment,Crime/ Violence/ Vandalism,Senior issues,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Aboriginal Issues,Crime/ Violence/ Vandalism,,Core,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Education,Childcare/ Daycare issues,Northwest,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Economy (general),Health care/ Medicare,Social services/ Public services,Core,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Poverty/ Homelessness,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Low cost housing/ Lower rental costs,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Education,Low cost housing/ Lower rental costs,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Southwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Education,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Economy (general),,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Cost of Living,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Morality issues: Pornography/ Drugs/ Prostitution,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Education,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Poverty/ Homelessness,Jobs/ Unemployment,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Racism/ Cultural/ Inequality issues,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Social services/ Public services,Crime/ Violence/ Vandalism,,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Economic growth/ Business development,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Downtown Renewal,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Poverty/ Homelessness,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Economic growth/ Business development,,Core,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Jobs/ Unemployment,Environmental Issues,Aboriginal Issues,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Flooding,Health care/ Medicare,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Jobs/ Unemployment,Crime/ Violence/ Vandalism,,Northeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Sewer/ Water infrastructure,Social services/ Public services,,Core,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Aboriginal Issues,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Civic Politics,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Environmental Issues,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Morality issues: Pornography/ Drugs/ Prostitution,,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Economy (general),,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Education,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Agriculture/ Farming,Morality issues: Pornography/ Drugs/ Prostitution,Economy (general),Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Economy (general),,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Drivers/ Road rage,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Childcare/ Daycare issues,,,Northeast,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Red light/ Speed cameras,Infrastructure/ Roads/ Potholes,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Jobs/ Unemployment,Crime/ Violence/ Vandalism,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,"Government Issues i.e, corruption, federal election",,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Social services/ Public services,Childcare/ Daycare issues,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Senior issues,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Social services/ Public services,Crime/ Violence/ Vandalism,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Municipal Taxes,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Social services/ Public services,Education,Infrastructure/ Roads/ Potholes,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Education,,,Northeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Education,Jobs/ Unemployment,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Public Transit/ Bike lanes,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Public Transit/ Bike lanes,,,Northeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Education,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Northeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Education,,,Northeast,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Environmental Issues,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,Infrastructure/ Roads/ Potholes,Northwest,Female,35 - 54,1.083145964
